year,team,fifa_rank,elo_rating,recent_form,goals_scored,goals_conceded,possession,xg,squad_market_value,average_age,manager_experience,wc_pedigree,is_champion
1998,Argentina,17,2040,0.739,1.93,0.96,56.8,1.6,902.92,25.81,5.72,7.0,0
1998,Brazil,14,2060,0.876,1.73,0.96,59.27,1.68,1161.56,27.15,5.81,8.67,0
1998,France,16,2096,1.0,2.91,0.61,58.45,2.23,1122.53,24.9,4.99,8.33,1
1998,Germany,17,2048,0.76,1.53,0.88,59.35,1.6,1009.98,29.49,6.45,7.67,0
1998,Spain,17,2036,0.785,1.68,1.24,57.55,1.48,910.75,26.6,5.84,4.67,0
1998,England,20,2028,0.676,1.82,1.15,56.47,1.58,805.91,26.3,5.78,4.0,0
1998,Portugal,18,2024,0.658,1.17,1.05,54.09,1.11,767.34,25.09,6.41,3.67,0
1998,Netherlands,21,2020,0.658,1.38,1.1,52.97,1.21,708.79,26.52,4.73,3.33,0
1998,Italy,16,2032,0.728,1.56,1.06,55.82,1.52,828.28,25.51,4.31,6.33,0
1998,Belgium,19,2016,0.614,1.65,1.15,51.5,1.22,668.74,25.53,4.69,3.0,0
1998,Croatia,21,2004,0.69,0.78,1.35,49.03,1.07,538.84,24.06,6.87,2.0,0
1998,Uruguay,23,2000,0.516,1.43,1.18,48.79,1.28,530.39,26.46,4.24,1.67,0
2002,Argentina,17,2056,0.692,1.94,1.01,58.46,1.62,941.65,26.55,4.15,7.0,0
2002,Brazil,11,2116,1.0,2.48,0.51,61.74,2.34,1195.06,25.28,5.29,8.67,1
2002,France,15,2072,0.849,1.97,0.91,60.63,1.54,1129.21,24.17,5.26,8.33,0
2002,Germany,15,2064,0.81,1.91,0.88,58.32,1.5,1065.81,23.81,7.29,7.67,0
2002,Spain,20,2052,0.714,1.64,1.14,59.44,1.38,935.8,24.78,4.65,4.67,0
2002,England,20,2044,0.726,1.73,1.02,53.05,1.24,867.59,28.12,4.92,4.0,0
2002,Portugal,19,2040,0.644,1.23,1.11,53.26,1.46,800.74,26.05,3.5,3.67,0
2002,Netherlands,17,2036,0.631,1.39,1.3,54.86,1.52,754.5,26.28,2.87,3.33,0
2002,Italy,15,2048,0.714,1.78,1.07,54.36,1.37,885.46,25.26,7.55,6.33,0
2002,Belgium,22,2032,0.709,1.55,1.17,54.01,1.3,710.69,25.51,4.88,3.0,0
2002,Croatia,21,2020,0.519,1.24,1.18,49.63,1.26,600.56,23.78,4.07,2.0,0
2002,Uruguay,21,2016,0.535,1.14,1.28,49.43,1.23,547.61,23.09,3.76,1.67,0
2006,Argentina,15,2058,0.738,1.94,0.98,55.18,1.52,988.85,25.66,5.8,7.0,0
2006,Brazil,14,2078,0.862,1.96,0.87,57.64,1.58,1164.19,23.64,5.34,8.67,0
2006,France,15,2074,0.891,2.04,0.86,58.68,1.58,1171.85,24.97,6.71,8.33,0
2006,Germany,13,2066,0.801,1.59,0.94,60.23,1.91,1071.79,25.42,5.09,7.67,0
2006,Spain,15,2054,0.737,1.54,1.2,56.28,1.62,953.26,24.92,5.57,4.67,0
2006,England,20,2046,0.706,1.59,1.19,53.61,1.32,858.45,27.11,5.43,4.0,0
2006,Portugal,21,2042,0.715,1.77,1.13,56.95,1.33,825.55,25.96,6.42,3.67,0
2006,Netherlands,19,2038,0.652,1.71,1.14,52.59,1.34,759.52,24.46,3.88,3.33,0
2006,Italy,14,2090,1.0,2.51,0.83,54.98,1.82,902.07,25.22,4.99,6.33,1
2006,Belgium,19,2034,0.678,1.75,1.25,54.85,1.23,758.58,26.09,4.6,3.0,0
2006,Croatia,20,2022,0.626,1.08,1.39,48.87,1.28,629.31,24.2,5.85,2.0,0
2006,Uruguay,20,2018,0.585,1.0,1.18,47.41,1.19,581.71,25.43,3.44,1.67,0
2010,Argentina,18,2042,0.751,1.46,1.18,55.5,1.69,1036.01,26.97,7.93,7.0,0
2010,Brazil,18,2062,0.874,2.02,1.0,60.9,1.71,1231.75,26.6,5.62,8.67,0
2010,France,13,2058,0.869,1.87,0.92,58.8,1.73,1172.56,23.75,7.43,8.33,0
2010,Germany,14,2050,0.756,1.95,0.92,60.38,1.59,1112.31,23.98,8.93,7.67,0
2010,Spain,16,2078,1.0,2.28,0.68,55.99,2.0,997.49,24.92,3.74,4.67,1
2010,England,22,2030,0.746,1.54,1.07,54.94,1.28,894.05,25.12,7.59,4.0,0
2010,Portugal,20,2026,0.687,1.36,1.07,53.91,1.37,857.91,27.23,3.69,3.67,0
2010,Netherlands,19,2022,0.592,1.67,1.22,54.04,1.34,815.9,26.79,5.14,3.33,0
2010,Italy,20,2034,0.712,1.57,1.12,54.25,1.46,958.13,25.88,6.02,6.33,0
2010,Belgium,22,2018,0.615,1.55,1.09,53.92,1.21,776.44,25.63,8.78,3.0,0
2010,Croatia,24,2006,0.536,1.88,1.18,47.71,1.4,640.78,25.02,6.24,2.0,0
2010,Uruguay,24,2002,0.569,1.42,1.52,48.59,1.16,606.63,23.51,4.59,1.67,0
2014,Argentina,17,2025,0.779,1.74,1.27,59.04,1.65,1066.4,25.89,7.45,7.0,0
2014,Brazil,17,2045,0.852,2.41,1.19,62.36,1.71,1263.5,24.24,7.38,8.67,0
2014,France,17,2041,0.774,1.68,0.97,61.9,1.7,1193.39,26.58,7.38,8.33,0
2014,Germany,15,2073,1.0,2.35,0.54,56.45,2.07,1141.56,23.4,5.91,7.67,1
